,directorio,secuencia_p,HHincome,fex,hhsize
5159,7315247,1,4232505.0,128.97705078125,4
5170,7315258,1,4500000.0,531.2924194335938,4
5187,7315276,1,1450000.0,215.2621612548828,4
5233,7315322,1,3070000.0,44.68822479248047,4
5263,7315354,1,3458666.5,27.942371368408203,4
5309,7315404,1,1020000.0,404.2878723144531,4
5322,7315418,1,3020000.0,440.12030029296875,4
5324,7315420,1,1240000.0,292.68756103515625,4
5331,7315429,1,2213333.25,153.27862548828125,4
5334,7315432,1,3925833.25,106.66484832763672,4
5362,7315464,1,5500000.0,352.4415588378906,4
5370,7315473,1,3167172.0,259.4792785644531,4
5384,7315490,1,1200000.0,219.72933959960938,4
5389,7315495,1,2501666.75,219.72933959960938,4
5401,7315509,1,3816505.5,250.23045349121094,4
5403,7315511,1,2490008.0,268.4750671386719,4
5431,7315544,1,5075000.0,1078.7239990234375,4
5434,7315547,1,2950000.0,869.8539428710938,4
5439,7315552,1,5175000.0,1229.0650634765625,4
5460,7315575,1,353333.3125,780.6394653320312,4
5461,7315576,1,2925000.0,1768.7655029296875,4
5463,7315578,1,4045833.25,1681.12109375,4
5484,7315604,1,8925000.0,642.4155883789062,4
5488,7315608,1,4364933.5,801.0441284179688,4
5490,7315610,1,2127500.0,690.4353637695312,4
5499,7315620,1,3987750.0,250.79798889160156,4
5507,7315631,1,4550000.0,37.894866943359375,4
5524,7315648,1,1245505.375,265.2525634765625,4
5529,7315653,1,1300000.0,350.8128662109375,4
5553,7315677,2,3127838.5,658.5448608398438,4
5571,7315695,1,350833.34375,437.4970703125,4
5591,7315717,1,3248333.5,410.9456787109375,4
5596,7315723,1,1100000.0,894.034912109375,4
5602,7315730,1,5208667.0,230.43153381347656,4
5615,7315743,1,3680250.0,266.6617126464844,4
5624,7315753,1,6343333.0,990.2673950195312,4
5629,7315758,1,25000.0,1214.846435546875,4
5656,7315787,1,600000.0,90.78271484375,4
5659,7315790,1,3130333.5,117.44284057617188,4
5666,7315798,1,3500000.0,71.80687713623047,4
5683,7315814,1,1925606.0,50.06721115112305,4
5684,7315815,1,1554500.0,60.01263427734375,4
5686,7315817,1,4091666.5,70.57022094726562,4
5696,7315827,1,800000.0,133.5532684326172,4
5723,7315856,1,1600000.0,49.344154357910156,4
5740,7315873,1,3121338.5,66.40097045898438,4
5781,7315915,1,3783838.75,70.25658416748047,4
5805,7315939,1,2808333.25,85.81881713867188,4
5841,7315975,1,3636666.75,50.77457046508789,4
5849,7315983,1,2980000.0,46.84335708618164,4
5868,7316002,1,2660000.0,19.40203285217285,4
5876,7316009,1,3068333.5,72.02111053466797,4
5881,7316014,1,2038000.0,22.04776382446289,4
5889,7316022,1,1642500.0,23.694501876831055,4
5893,7316026,1,8600000.0,55.824974060058594,4
5907,7316037,1,500000.0,49.527503967285156,4
5909,7316040,1,911666.6875,24.252540588378906,4
5950,7316088,1,1130000.0,78.34512329101562,4
5952,7316090,1,1200000.0,55.583438873291016,4
5983,7316126,1,2200000.0,54.75534439086914,4
5984,7316127,1,1700000.0,34.21234130859375,4
5990,7316133,1,1000000.0,15.698575019836426,4
5993,7316136,1,566666.625,11.382194519042969,4
6061,7316208,1,1000000.0,42.42690658569336,4
6062,7316209,1,5850000.0,77.93881225585938,4
6069,7316216,1,1600000.0,46.7827262878418,4
6070,7316217,1,3920000.0,38.007633209228516,4
6071,7316218,1,1600000.0,46.027793884277344,4
6086,7316233,1,1300000.0,16.931737899780273,4
6091,7316238,1,1596666.625,19.2738037109375,4
6095,7316242,1,2729500.0,75.1458740234375,4
6096,7316243,1,3325333.5,102.6572265625,4
6113,7316266,1,678333.3125,130.47454833984375,4
6114,7316267,1,3440505.5,85.39185333251953,4
6135,7316288,1,3218333.5,70.11764526367188,4
6138,7316291,1,5400000.0,154.81065368652344,4
6158,7316311,1,4586000.0,86.32544708251953,4
6164,7316317,1,5550000.0,88.1258773803711,4
6171,7316324,1,7125505.0,69.42747497558594,4
6199,7316355,1,558333.3125,214.9572296142578,4
